"","CONST_ID","OBJECTID_1","OBJECTID","REGION","REGION_NUM","CONST","CONST_NUM","AREA","GAVPrimary","ID","ID1","Area1","ID2","Population","New_Consti","WHD","NorthCent","Shape_Leng","Shape_Le_1","Shape_STAr","Shape_STLe","const_merge","Head_Count"
"64",705,48,48,"Kunene","01","Outjo","07",7466.4,82,82,82,0,55,12447,"0","0","0",390074.742509,390074.744921,7467567014.33,390074.744921,"705-outjo",0.187306172088781
"65",706,65,65,"Kunene","01","Sesfontein","04",20193.1,90,90,233,0,75,8434,"0","0","0",749868.00164,750221.349917,22789066245.7,750221.349917,"706-sesfontein",0.23290637564618
"66",801,2,2,"Ohangwena","04","Eenhana","05",1111.8,7,7,324,0,3,22319,"0","0","1",136997.948169,136998.440049,904210383.328,136998.440049,"801-eenhana",0.142035043804756
"67",802,89,89,"Ohangwena","04","Endola","09",327.7,9,9,418,0,102,25591,"0","0","1",89435.5369241,89442.1767791,326986889.89,89442.1767791,"802-endola",0.123346219931271
"68",803,1,1,"Ohangwena","04","Engela","02",296,10,10,421,0,2,23808,"0","0","1",109402.966007,109394.211151,307803102.471,109394.211151,"803-engela",0.141500809061489
"69",804,3,3,"Ohangwena","04","Epembe","10",1810.2,11,11,331,0,4,11883,"0","0","1",148552.077655,148552.280011,1198734002.81,148552.280011,"804-epembe",0.147628557671762
"70",804,73,73,"Ohangwena","04","Oshikunde","12",1810.2,11,11,355,0,83,12570,"1","0","1",184305.001659,184304.976042,1630322678.13,184304.976042,"804-oshikunde",0.147628557671762
"71",805,4,4,"Ohangwena","04","Omulonga","11",170.3,45,45,362,0,5,27772,"0","0","1",118141.354888,118141.438771,501072211.184,118141.438771,"805-omulonga",0.119294163366609
"72",805,69,69,"Ohangwena","04","Ohangwena","08",170.3,45,45,291,0,79,22591,"0","0","1",87558.433088,87558.4703571,229529640.259,87558.4703571,"805-ohangwena",0.119294163366609
"73",806,72,72,"Ohangwena","04","Okongo","07",4692.4,54,54,351,0,82,18416,"0","0","0",278101.104517,278100.856279,3821983291.79,278100.856279,"806-okongo",0.136151432754654
"74",807,71,71,"Ohangwena","04","Omundaungilo","06",618.3,60,60,347,0,81,10006,"0","0","1",170240.871933,170238.113502,793543253.743,170238.113502,"807-omundaungilo",0.260811272416738
"75",808,70,70,"Ohangwena","04","Ondobe","04",498.5,65,65,292,0,80,22491,"0","0","1",95123.8728855,95123.8629661,456655101.705,95123.8629661,"808-ondobe",0.120031047865459
"76",809,67,67,"Ohangwena","04","Ongenga","01",320.2,67,67,242,0,77,22538,"0","0","1",98205.2155151,98206.5875241,314698247.36,98206.5875241,"809-ongenga",0.20025944002055
"77",810,68,68,"Ohangwena","04","Oshikango","03",261,74,74,287,0,78,25461,"0","0","1",87087.7282266,87087.7211736,223746502.963,87087.7211736,"810-oshikango",0.132130660727543
"78",901,100,100,"Omaheke","10","Aminuis","06",12972.9,1,1,427,0,114,12306,"0","0","0",541934.501367,541934.49867,12994255228.9,541934.49867,"901-aminuis",0.193142116950407
"79",902,101,101,"Omaheke","10","Gobabis","04",5766.4,16,16,446,0,116,20993,"0","0","0",397963.538685,397965.083742,5770324820.64,397965.083742,"902-gobabis",0.165245098039216
"80",903,12,12,"Omaheke","10","Kalahari","05",12218,21,21,21,0,15,7611,"0","0","0",494308.171996,494308.170981,12248299631.2,494308.170981,"903-kalahari",0.298980301274623
"81",904,45,45,"Omaheke","10","Otjinene","01",6413.2,78,78,78,0,51,7306,"0","0","0",343850.923629,343852.195468,6420009477.9,343852.195468,"904-otjinene",0.224949937421777
"82",905,47,47,"Omaheke","10","Otjombinde","02",18844.9,80,80,80,0,53,6851,"0","0","0",596143.812419,597289.436142,18929461741.1,597289.436142,"905-otjombinde",0.225394824153948
"83",906,94,94,"Omaheke","10","Okarukambe","03",17440.8,93,93,93,0,107,10060,"0","0","0",789614.4185,789591.358987,17456977547.1,789591.358987,"906-okarukambe",0.393383620689655
